nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_02310	56	0	19	4	16	13	5	53	361	521	110
NC101_02311	32	0	8	3	16	4	10	16	149	212	55
NC101_02312	30	0	2	1	19	6	18	16	121	157	209
NC101_02313	46	11	4	19	118	31	141	75	205	189	141
NC101_02314	404	163	52	288	1449	416	3931	1721	4907	3608	410
NC101_02315	492	193	57	482	752	668	1350	580	1598	1605	718
NC101_02316	1011	519	99	1184	1416	1436	1726	935	2349	2650	1369
NC101_02317	98	45	8	83	140	116	86	40	167	131	188
NC101_02319	29	5	4	8	18	15	39	27	124	105	923
NC101_02320	51	21	12	9	65	30	89	57	186	180	2338
NC101_02321	27	5	7	15	61	29	41	13	109	53	2830
NC101_02322	133	97	15	119	94	88	79	55	315	225	1310
NC101_02323	159	25	27	49	94	71	49	118	260	166	100
NC101_02324	86	19	7	44	182	103	186	156	313	258	191
NC101_02325	64	7	8	11	55	25	45	88	74	74	297
NC101_02326	5	0	2	5	1	3	7	16	21	15	40
NC101_02327	17	12	0	8	30	16	13	19	39	38	85
NC101_02328	7	1	2	4	19	12	10	6	20	12	56
NC101_02329	12	4	0	8	60	27	26	17	60	45	69
NC101_02330	128	18	14	24	59	38	148	116	834	360	27
NC101_02331	50	8	11	26	46	48	50	37	177	108	17
NC101_02332	8	4	4	5	37	9	119	54	172	209	35
NC101_02333	26	7	1	17	66	37	62	26	93	75	16
NC101_02334	16	7	6	8	56	9	31	18	39	13	28
NC101_02335	363	91	58	256	431	340	410	306	719	528	60
NC101_02336	24	5	12	31	60	33	295	113	287	348	63
NC101_02337	81	37	7	22	73	47	118	69	478	197	71
NC101_02338	12	7	0	6	34	3	25	14	47	42	20
